Epoch [1/20], Loss: 0.030486808693488607, Val Loss: 0.04581303645971155
Epoch [2/20], Loss: 0.024592957174227405, Val Loss: 0.04360640627419285
Epoch [3/20], Loss: 0.024102693792233978, Val Loss: 0.0492341495476201
Epoch [4/20], Loss: 0.024585121453117646, Val Loss: 0.049173087067669034
Epoch [5/20], Loss: 0.02427584509750379, Val Loss: 0.04537529535722121
Epoch [6/20], Loss: 0.024426485706349584, Val Loss: 0.04576933204156453
Epoch [7/20], Loss: 0.024160776865706012, Val Loss: 0.044850043725025664
Epoch [8/20], Loss: 0.024415940527273524, Val Loss: 0.04885229785899141
Epoch [9/20], Loss: 0.02425687621207347, Val Loss: 0.04314127181570602
Epoch [10/20], Loss: 0.024567021058464353, Val Loss: 0.04370607714990652
Epoch [11/20], Loss: 0.024771321181074443, Val Loss: 0.04438733534360921
Epoch [12/20], Loss: 0.024584734724552762, Val Loss: 0.046691457390843724
Epoch [13/20], Loss: 0.024505321695180136, Val Loss: 0.04327455582378546
Epoch [14/20], Loss: 0.023830377633194958, Val Loss: 0.04524058045901839
Epoch [15/20], Loss: 0.024555027896085775, Val Loss: 0.0437989788673068
Epoch [16/20], Loss: 0.024309817838174243, Val Loss: 0.04493595955686139
Epoch [17/20], Loss: 0.025037159864241213, Val Loss: 0.04355750639660385
Epoch [18/20], Loss: 0.024439970290274456, Val Loss: 0.043039931878863534
Epoch [19/20], Loss: 0.024118777763181654, Val Loss: 0.04447630285506329
Epoch [20/20], Loss: 0.024857759577657408, Val Loss: 0.044273583723768245
